grid,probability
"(9, 54)",0.67
"(9, 55)",0.63
"(9, 56)",0.42
"(9, 57)",0.37
"(9, 58)",0.41
"(9, 59)",0.56
"(9, 60)",0.51
"(9, 61)",0.55
"(9, 62)",0.6
"(9, 63)",0.59
"(9, 64)",0.46
"(9, 65)",0.37
"(9, 66)",0.35
"(10, 0)",0.42
"(10, 1)",0.42
"(10, 2)",0.49
"(10, 3)",0.57
"(10, 4)",0.52
"(10, 5)",0.45
"(10, 6)",0.46
"(10, 7)",0.57
"(10, 8)",0.48
"(10, 9)",0.34
"(10, 10)",0.31
"(10, 11)",0.27
"(10, 12)",0.29
"(10, 13)",0.37
"(10, 14)",0.33
"(10, 15)",0.33
"(10, 16)",0.64
"(10, 17)",0.6
"(10, 18)",0.55
"(10, 19)",0.63
"(10, 20)",0.71
"(10, 21)",0.79
"(10, 22)",0.91
"(10, 23)",0.84
"(10, 24)",0.86
"(10, 25)",0.79
"(10, 26)",0.78
"(10, 27)",0.69
"(10, 28)",0.57
"(10, 29)",0.57
"(10, 30)",0.55
"(10, 31)",0.38
"(10, 32)",0.36
"(10, 33)",0.35
"(10, 34)",0.34
"(10, 35)",0.32
"(10, 36)",0.33
"(10, 37)",0.4
"(10, 38)",0.41
"(10, 39)",0.42
"(10, 40)",0.42
"(10, 41)",0.45
"(10, 42)",0.43
"(10, 43)",0.41
"(10, 44)",0.39
"(10, 45)",0.41
"(10, 46)",0.44
"(10, 47)",0.84
"(10, 48)",0.83
"(10, 49)",0.83
"(10, 50)",0.82
"(10, 51)",0.78
"(10, 52)",0.77
"(10, 53)",0.71
"(10, 54)",0.71
"(10, 55)",0.71
"(10, 56)",0.49
"(10, 57)",0.45
"(10, 58)",0.48
"(10, 59)",0.64
"(10, 60)",0.57
"(10, 61)",0.6
"(10, 62)",0.66
"(10, 63)",0.65
"(10, 64)",0.53
"(10, 65)",0.48
"(10, 66)",0.46
"(11, 0)",0.42
"(11, 1)",0.42
"(11, 2)",0.49
"(11, 3)",0.58
"(11, 4)",0.52
"(11, 5)",0.45
"(11, 6)",0.45
"(11, 7)",0.56
"(11, 8)",0.46
"(11, 9)",0.33
"(11, 10)",0.3
"(11, 11)",0.27
"(11, 12)",0.29
"(11, 13)",0.37
"(11, 14)",0.34
"(11, 15)",0.34
"(11, 16)",0.67
"(11, 17)",0.64
"(11, 18)",0.59
"(11, 19)",0.68
"(11, 20)",0.73
"(11, 21)",0.78
"(11, 22)",0.83
"(11, 23)",0.75
"(11, 24)",0.76
"(11, 25)",0.73
"(11, 26)",0.71
"(11, 27)",0.69
"(11, 28)",0.58
"(11, 29)",0.56
"(11, 30)",0.52
"(11, 31)",0.36
"(11, 32)",0.34
"(11, 33)",0.34
"(11, 34)",0.32
"(11, 35)",0.28
"(11, 36)",0.28
"(11, 37)",0.33
"(11, 38)",0.34
"(11, 39)",0.35
"(11, 40)",0.34
"(11, 41)",0.36
"(11, 42)",0.35
"(11, 43)",0.34
"(11, 44)",0.31
"(11, 45)",0.35
"(11, 46)",0.38
"(11, 47)",0.8
"(11, 48)",0.78
"(11, 49)",0.78
"(11, 50)",0.76
"(11, 51)",0.71
"(11, 52)",0.7
"(11, 53)",0.65
"(11, 54)",0.67
"(11, 55)",0.7
"(11, 56)",0.54
